,抽样地点_2*,食品亚类,所在省份*
358758,农贸市场,畜禽肉及副产品,西藏
358793,超市,鲜蛋,青海
358812,农贸市场,畜禽肉及副产品,西藏
359840,菜市场,水果类,青海
360991,超市,水果类,广西
361144,超市,蔬菜,辽宁
361422,超市,蔬菜,广西
362171,超市,水果类,广西
369858,超市,蔬菜,广西
370411,超市,水果类,云南
370964,批发市场,畜禽肉及副产品,浙江
371208,农贸市场,蔬菜,云南
371540,批发市场,鲜蛋,浙江
373983,菜市场,蔬菜,陕西
374647,批发市场,畜禽肉及副产品,浙江
375768,批发市场,蔬菜,浙江
378478,批发市场,水产品,河北
378557,批发市场,水产品,河北
380502,批发市场,水产品,河北
381411,菜市场,蔬菜,辽宁
381914,超市,畜禽肉及副产品,云南
382039,菜市场,蔬菜,辽宁
382713,农贸市场,蔬菜,云南
383974,批发市场,水产品,河北
385688,农贸市场,蔬菜,云南
385776,农贸市场,蔬菜,云南
386284,批发市场,水产品,河北
386364,批发市场,水产品,河北
386404,批发市场,水产品,河北
387785,批发市场,水产品,河北
387932,农贸市场,蔬菜,云南
388803,批发市场,蔬菜,浙江
389173,农贸市场,畜禽肉及副产品,西藏
389389,农贸市场,畜禽肉及副产品,西藏
391567,小食杂店,蔬菜,西藏
392651,小食杂店,蔬菜,西藏
393574,小食杂店,蔬菜,西藏
393590,小食杂店,蔬菜,西藏
393611,农贸市场,畜禽肉及副产品,西藏
397393,超市,水产品,云南
400736,批发市场,畜禽肉及副产品,浙江
400738,批发市场,畜禽肉及副产品,浙江
402002,超市,鲜蛋,重庆
402764,超市,水产品,云南
408972,农贸市场,蔬菜,内蒙古
411057,菜市场,蔬菜,广西
413323,农贸市场,水产品,广西
416328,超市,蔬菜,重庆
419909,其他,畜禽肉及副产品,云南
420163,农贸市场,畜禽肉及副产品,江苏
422377,超市,生干坚果与籽类食品,天津
423206,超市,水果类,广西
424394,超市,畜禽肉及副产品,上海
424867,超市,畜禽肉及副产品,陕西
437300,菜市场,水产品,上海
437917,农贸市场,水产品,辽宁
440831,农贸市场,水产品,辽宁
444007,农贸市场,畜禽肉及副产品,上海
444028,农贸市场,畜禽肉及副产品,上海
444691,超市,畜禽肉及副产品,安徽
445968,农贸市场,畜禽肉及副产品,上海
446971,超市,水产品,安徽
450391,菜市场,蔬菜,上海
450879,超市,水果类,青海
452199,菜市场,鲜蛋,上海
